Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
29,63,male,2,own,little,little,6836,60,business
535,33,male,2,rent,little,rich,2319,21,education
695,50,male,2,rent,quite rich,,1236,6,car
557,29,female,2,own,,,5003,21,car
836,21,female,2,own,,,886,12,radio/TV
596,23,female,2,rent,little,little,1442,24,car
165,32,male,2,own,quite rich,,2978,6,furniture/equipment
918,33,male,2,own,moderate,little,2359,24,furniture/equipment
495,20,male,2,own,,little,2996,24,furniture/equipment
824,35,male,3,own,little,,3780,18,furniture/equipment
65,48,male,2,own,,,5190,27,repairs
141,30,female,3,own,little,moderate,4795,36,radio/TV
925,46,male,2,own,little,little,697,12,car
827,36,male,2,own,little,,4165,18,business
655,22,male,2,free,little,little,3973,14,car
331,30,female,2,own,moderate,,1864,18,education
664,50,female,1,own,little,rich,1047,6,education
249,22,female,2,rent,little,,433,18,radio/TV
907,27,male,2,own,,moderate,3711,36,education
708,25,female,2,own,little,moderate,1206,9,radio/TV
305,33,male,2,own,rich,,1543,6,furniture/equipment
734,37,female,2,own,little,,3380,4,car
975,57,female,1,own,quite rich,rich,1258,24,radio/TV
49,28,female,2,own,moderate,,2073,12,radio/TV
896,28,female,3,rent,little,little,2606,21,radio/TV
2,49,male,1,own,little,,2096,12,education
544,61,male,1,own,little,,1255,12,car
350,23,female,2,rent,little,,1236,9,domestic appliances
904,36,male,3,own,little,,1278,24,radio/TV
536,75,female,3,own,,little,1374,6,car
344,37,male,1,own,little,rich,3949,10,car
994,50,male,2,own,,,2390,12,car
481,26,male,2,own,little,moderate,1201,24,car
575,24,female,2,own,little,,2788,15,furniture/equipment
33,57,male,1,rent,,,1264,12,business
31,27,male,2,own,little,little,4020,24,furniture/equipment
231,51,male,1,free,quite rich,,2507,9,car
963,35,male,2,own,quite rich,,2397,24,radio/TV
192,36,male,2,own,little,moderate,3915,27,business
333,24,female,1,rent,moderate,,11590,48,car
3,45,male,2,free,little,little,7882,42,furniture/equipment
204,38,male,1,own,little,,1495,12,car
514,54,male,2,own,,,2255,24,car
799,35,male,0,own,,moderate,1549,9,car
306,24,female,1,rent,,,4811,30,car
109,35,male,2,own,quite rich,moderate,1410,14,business
430,74,male,1,own,little,,3448,5,business
77,51,male,2,own,little,moderate,4771,11,radio/TV
84,52,male,1,own,little,little,2315,10,radio/TV
286,26,male,2,own,little,little,4788,48,car
82,24,female,1,rent,moderate,,1568,18,business
991,34,male,1,own,moderate,,1569,15,radio/TV
789,27,male,2,own,little,little,5998,40,education
894,29,male,2,own,,,1169,18,radio/TV
398,46,male,2,rent,little,moderate,1223,12,car
323,28,male,2,own,rich,little,2659,18,furniture/equipment
519,36,male,2,free,,,700,6,radio/TV
916,32,male,2,own,moderate,,2848,10,car
922,22,female,2,rent,little,little,1366,9,radio/TV
5,35,male,1,free,,,9055,36,education
731,21,male,1,rent,little,little,1987,24,radio/TV
465,63,male,2,own,little,little,2924,24,car
97,34,male,2,own,moderate,moderate,2622,18,business
266,36,male,2,own,,,6304,36,business
357,26,male,3,own,little,,4463,36,radio/TV
868,37,male,2,own,,,7409,36,business
798,54,male,2,own,,,717,24,car
380,39,male,2,own,,little,2212,20,furniture/equipment
631,44,male,2,own,little,little,1553,18,furniture/equipment
381,38,female,3,free,little,moderate,12976,18,car
490,26,male,2,own,little,,1934,12,radio/TV
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment
900,43,male,2,rent,little,little,2625,16,car
250,39,female,1,own,rich,little,666,6,car
523,23,female,2,own,moderate,,3488,24,car
9,28,male,3,own,little,moderate,5234,30,car
196,28,female,2,own,little,,1382,6,radio/TV
603,28,female,3,own,little,,3349,36,furniture/equipment
81,47,male,2,own,quite rich,,1213,15,radio/TV
783,23,female,1,own,moderate,moderate,836,12,car
587,21,male,1,own,little,little,1289,12,furniture/equipment
797,22,female,1,rent,little,,1258,12,furniture/equipment
239,39,male,2,own,little,little,2522,30,radio/TV
290,26,male,2,own,little,,1076,12,business
211,45,female,1,own,,,3835,36,radio/TV
717,32,male,3,free,little,,1505,18,radio/TV
359,23,female,2,rent,little,little,2406,30,furniture/equipment
449,61,male,2,own,rich,moderate,1512,15,repairs
227,53,male,3,free,little,little,7865,12,furniture/equipment
950,40,male,0,own,little,moderate,3590,18,business
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment
796,51,male,2,free,,little,7511,18,car
501,42,male,2,free,little,little,5493,36,car
464,34,male,2,own,little,,1950,18,business
362,36,female,2,own,little,rich,2247,12,car
468,26,female,2,own,little,,2764,33,business
935,30,male,3,own,moderate,moderate,1919,30,radio/TV
428,20,male,2,own,little,,1313,9,furniture/equipment
7,35,male,3,rent,little,moderate,6948,36,car
155,20,female,2,rent,little,little,1282,12,furniture/equipment
541,60,male,2,free,little,,2032,24,car
440,39,male,3,own,little,,1884,12,car
482,57,female,2,rent,rich,little,3622,30,furniture/equipment
422,47,male,1,own,little,moderate,958,12,car
778,38,male,3,own,rich,,5711,36,car
949,31,male,2,own,moderate,,3621,24,radio/TV
334,23,male,2,rent,little,little,4110,24,furniture/equipment
576,27,female,2,own,little,moderate,2930,12,radio/TV
934,23,female,2,own,little,little,1498,12,radio/TV
567,34,male,2,own,rich,,2578,24,radio/TV
594,40,male,3,own,,little,1358,24,vacation/others
530,32,male,2,own,little,moderate,2273,36,education
581,49,male,1,own,little,moderate,3124,12,car
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment
448,55,female,3,own,,rich,1424,12,furniture/equipment
453,35,male,3,own,little,,2670,24,car
228,22,male,2,own,little,,1478,9,radio/TV
352,38,male,3,own,,,3229,18,car
728,59,female,2,rent,little,moderate,6416,48,business
212,50,male,2,own,little,little,5293,27,business
79,22,male,2,own,little,moderate,3832,30,furniture/equipment
148,28,male,2,own,little,little,5371,36,furniture/equipment
302,37,male,1,own,,rich,1344,24,car
628,36,male,2,own,quite rich,,4042,42,furniture/equipment
777,25,female,2,own,little,little,3509,18,radio/TV
506,36,male,2,own,quite rich,rich,2360,15,car
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV
485,47,male,3,own,little,moderate,1209,6,car
711,35,female,2,free,little,little,1198,6,education
133,47,male,2,free,little,,1984,18,furniture/equipment
703,41,male,2,own,moderate,moderate,2503,30,business
311,25,male,2,own,moderate,,5511,24,furniture/equipment
722,24,female,1,own,little,little,1228,12,car
629,64,male,1,own,,,3832,9,education
0,67,male,2,own,,little,1169,6,radio/TV
316,38,male,1,own,little,little,708,12,furniture/equipment
706,24,male,2,own,moderate,moderate,6560,48,car
547,32,male,2,own,little,,1552,24,radio/TV
872,26,male,2,own,moderate,little,1382,24,business
532,41,male,2,rent,little,,1503,12,car
477,25,male,2,own,little,rich,5152,24,radio/TV
404,43,male,2,own,,moderate,2899,18,car
172,34,female,3,own,little,moderate,2064,24,furniture/equipment
125,30,male,2,own,little,little,2121,12,car
394,31,male,3,own,little,,2406,9,furniture/equipment
420,20,female,2,rent,rich,,3186,15,car
552,34,male,2,own,little,little,6999,48,radio/TV
903,40,male,2,rent,,,1386,15,radio/TV
90,56,male,2,own,little,,618,12,radio/TV
939,46,male,3,own,,,6842,24,car
181,30,male,3,own,little,moderate,4455,36,business
274,34,male,1,own,little,little,11998,30,repairs
895,31,male,3,own,,,8947,36,car
69,25,female,2,own,,,2394,36,radio/TV
291,28,male,3,rent,little,moderate,9398,36,car
131,29,male,2,own,little,little,6887,36,education
300,54,female,0,own,little,,672,6,car
424,25,female,2,own,,moderate,2762,12,furniture/equipment
326,49,male,2,rent,,,5801,12,furniture/equipment
144,23,female,2,own,little,,2288,21,furniture/equipment
423,34,male,3,own,moderate,,1591,21,furniture/equipment
580,30,male,2,own,little,moderate,1056,18,car
135,38,female,2,own,,,1240,12,radio/TV
450,30,male,3,own,,,11054,36,car
164,36,male,2,own,quite rich,,909,36,car
28,34,male,2,own,little,moderate,2415,7,radio/TV
773,52,male,2,own,moderate,,2223,24,radio/TV
193,29,male,2,rent,little,,2108,6,radio/TV
388,27,male,2,own,quite rich,moderate,2326,15,business
852,35,male,2,free,little,,1471,15,radio/TV
169,31,male,2,own,little,moderate,1935,24,business
705,35,female,2,free,quite rich,,5324,15,car
140,27,male,0,own,rich,rich,709,6,car
173,33,male,2,own,little,moderate,1414,8,radio/TV
6,53,male,2,own,quite rich,,2835,24,furniture/equipment
745,28,male,1,own,little,little,1797,13,business
478,39,male,1,own,moderate,moderate,1037,12,business
73,41,female,1,own,little,moderate,5954,42,business
910,34,female,2,own,little,,4454,36,radio/TV
813,54,male,2,own,little,little,3051,48,domestic appliances
238,35,female,2,own,little,,1291,12,radio/TV
145,30,male,2,own,moderate,moderate,3566,48,business
792,27,male,2,own,,,1221,6,furniture/equipment
234,42,male,1,own,little,,1544,4,radio/TV
220,26,male,1,own,little,moderate,625,12,radio/TV
923,30,male,2,rent,little,moderate,2002,12,car
500,27,female,2,own,little,little,3123,24,car
132,27,male,1,own,little,,2708,15,furniture/equipment
990,37,male,1,own,,,3565,12,education
774,66,male,0,free,quite rich,rich,1480,12,car
185,31,male,2,own,little,,1360,15,radio/TV
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV
696,29,male,2,own,little,moderate,1103,12,radio/TV
108,30,female,2,own,,little,7721,24,furniture/equipment
588,47,male,1,own,little,little,1217,18,domestic appliances
56,52,male,3,own,,moderate,6468,12,radio/TV
405,22,male,2,own,little,moderate,2039,24,radio/TV
442,29,male,2,own,little,moderate,2629,20,vacation/others
757,39,male,2,free,,rich,1271,15,radio/TV
997,38,male,2,own,little,,804,12,radio/TV
24,26,male,2,own,,,2069,10,furniture/equipment
467,32,male,2,own,,,7238,48,radio/TV
539,45,female,1,own,little,rich,3049,18,furniture/equipment
531,28,female,2,rent,moderate,moderate,2631,15,car
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment
694,28,male,2,own,little,,2284,24,radio/TV
926,21,female,2,rent,little,little,1049,18,furniture/equipment
338,28,male,2,own,little,little,4169,24,furniture/equipment
51,30,male,3,own,little,moderate,5965,27,car
507,34,male,3,own,moderate,moderate,6850,15,car
516,40,male,1,own,little,little,1361,6,car
920,28,female,2,own,little,,1817,18,furniture/equipment
781,60,male,2,own,rich,,1940,24,car
264,32,male,1,own,little,,1231,10,car
817,24,female,2,rent,little,,1554,6,radio/TV
710,32,male,3,own,quite rich,,629,18,radio/TV
682,33,male,2,own,little,,1478,15,radio/TV
832,29,male,2,rent,little,little,11816,45,business
518,43,male,2,own,moderate,little,1203,6,car
447,35,male,2,own,little,moderate,2576,7,radio/TV
18,44,female,3,free,little,moderate,12579,24,car
715,63,male,2,own,,,7596,30,car
483,30,female,2,own,rich,,960,15,furniture/equipment
568,41,male,2,own,,moderate,3979,48,radio/TV
433,33,male,2,own,little,,2058,24,repairs
367,22,female,2,rent,little,little,3650,18,furniture/equipment
83,58,female,1,own,little,little,1755,24,vacation/others
61,50,male,2,own,,moderate,1537,15,radio/TV
638,34,female,2,own,little,,1493,12,radio/TV
272,36,male,3,free,,moderate,12169,48,car
285,35,female,1,own,little,little,10722,47,car
360,61,male,2,free,,moderate,1239,18,education
354,46,male,2,free,quite rich,,727,10,education
456,36,male,2,rent,little,little,3905,11,car
278,32,female,2,own,little,,4611,6,furniture/equipment
12,22,female,2,own,little,moderate,1567,12,radio/TV
182,40,male,1,own,,little,1647,21,car
368,42,male,2,own,little,little,3446,36,furniture/equipment
881,48,male,2,free,,,9277,24,car
615,48,male,3,own,,moderate,12204,48,business
223,32,male,2,own,,,2978,24,business
572,26,female,3,rent,,,5433,24,car
970,22,male,2,own,moderate,moderate,1514,15,repairs
653,42,male,3,own,moderate,moderate,8086,36,car
545,43,male,2,free,little,little,1333,24,car
582,26,female,2,rent,little,,1388,9,furniture/equipment
633,19,female,2,rent,little,,1980,9,furniture/equipment
176,42,male,2,own,little,little,2577,12,furniture/equipment
665,27,male,3,own,little,,6314,24,vacation/others
673,24,male,2,own,quite rich,,2080,6,car
585,20,female,2,rent,little,little,2039,18,furniture/equipment
873,24,female,2,own,,,874,15,domestic appliances
393,31,female,2,own,little,little,1957,6,radio/TV
163,70,male,3,free,little,moderate,7308,10,car
248,26,male,2,own,little,rich,1925,24,furniture/equipment
634,25,female,1,own,little,moderate,1355,24,car
885,53,female,2,own,little,little,795,12,education
669,47,male,2,own,little,rich,3017,30,radio/TV
375,37,female,2,rent,little,little,7685,48,business
412,42,male,3,own,little,,2292,12,business
74,40,male,3,own,,little,1977,36,education
113,25,female,2,own,little,,7855,36,car
598,31,male,2,own,little,,2775,18,car
961,47,male,2,own,little,moderate,2353,21,car
390,30,male,3,own,little,,1820,18,car
104,26,male,2,rent,,,2445,12,car
114,35,male,2,own,quite rich,little,1680,12,radio/TV
417,23,female,2,rent,,little,8471,18,education
525,30,male,2,own,little,moderate,7966,26,car
457,35,male,2,free,little,little,3386,12,car
409,28,male,2,own,quite rich,rich,939,12,car
92,33,female,1,own,,,797,12,radio/TV
930,24,male,1,own,little,little,1747,24,furniture/equipment
89,28,male,2,own,little,little,1108,12,repairs
336,23,female,1,own,little,moderate,2101,13,radio/TV
988,29,male,3,free,little,little,6579,24,car
921,37,male,3,own,quite rich,,12749,48,radio/TV
933,42,male,2,own,quite rich,,522,12,radio/TV
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment
593,20,female,1,rent,little,moderate,2718,24,car
611,48,female,1,free,moderate,rich,1240,10,car
94,54,male,2,own,rich,moderate,1318,12,car
11,24,female,2,rent,little,little,4308,48,business
396,55,female,3,free,little,little,2578,12,furniture/equipment
533,26,male,2,own,moderate,,1311,24,radio/TV
43,24,male,2,rent,moderate,little,6187,30,car
42,44,male,1,own,little,moderate,6204,18,repairs
329,28,male,2,own,little,moderate,1068,6,radio/TV
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment
497,40,male,2,own,little,,1585,24,furniture/equipment
876,36,male,3,free,little,little,1940,18,radio/TV
597,36,male,1,own,little,moderate,4241,24,business
756,74,male,0,own,little,rich,1299,6,car
100,41,male,1,rent,moderate,,1469,24,car
426,29,male,2,own,little,,2743,28,radio/TV
178,31,male,3,rent,little,,1963,12,radio/TV
444,30,female,3,own,little,moderate,5096,48,furniture/equipment
416,33,male,1,own,little,little,2579,12,car
870,40,female,2,own,quite rich,,7678,36,furniture/equipment
882,36,male,2,own,,moderate,2181,30,car
680,56,female,2,own,little,,1538,6,education
177,52,male,2,own,quite rich,little,338,6,radio/TV
395,32,male,2,rent,moderate,moderate,11760,39,education
911,25,female,1,own,little,moderate,4736,24,furniture/equipment
793,51,male,2,free,little,rich,2892,24,furniture/equipment
960,30,male,2,rent,little,,1740,6,radio/TV
684,31,male,1,own,moderate,moderate,9857,36,business
383,26,male,2,own,little,rich,1330,12,car
956,49,male,1,own,,rich,3656,30,radio/TV
751,23,female,1,own,little,little,976,18,car
257,29,male,2,free,little,little,2149,12,radio/TV
538,42,male,3,free,little,little,7763,48,car
335,44,male,3,rent,little,little,3384,6,furniture/equipment
15,32,female,1,own,moderate,little,1282,24,radio/TV
324,36,female,2,own,little,,1028,18,car
758,31,male,2,own,little,,1393,24,car
222,30,male,2,own,little,,707,12,radio/TV
179,65,male,2,own,little,little,571,21,car
983,26,male,2,own,little,little,8229,36,car
22,48,male,1,rent,little,little,2241,10,car
356,49,male,2,own,,,2331,12,radio/TV
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment
861,28,male,2,own,little,,2169,18,business
340,24,female,2,free,little,moderate,5743,24,education
431,29,male,3,own,little,moderate,11328,24,vacation/others
551,45,male,1,own,quite rich,,1750,6,radio/TV
833,42,female,2,own,,moderate,5084,24,radio/TV
203,21,male,2,rent,little,little,902,12,education
630,28,female,2,own,little,little,3660,24,radio/TV
93,20,male,2,rent,,rich,3617,24,furniture/equipment
558,27,male,2,own,little,little,3552,24,furniture/equipment
68,37,male,2,free,little,,1819,36,education
622,38,male,2,own,,,3914,48,business
284,37,male,2,own,moderate,moderate,3878,24,car
844,47,male,2,own,little,,3422,18,furniture/equipment
434,25,male,2,own,little,little,2136,9,furniture/equipment
153,29,female,2,rent,rich,moderate,7758,24,car
75,66,male,3,free,little,little,1526,12,car
730,33,male,2,own,little,moderate,6403,24,radio/TV
446,34,female,2,own,little,little,1842,36,car
188,20,male,2,own,moderate,little,674,12,radio/TV
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment
236,23,male,0,own,,moderate,14555,6,car
487,62,female,2,free,little,,3757,24,car
117,27,female,2,rent,,little,2132,10,furniture/equipment
943,42,male,1,own,little,,1455,4,car
